,iteration,x,f(x),sum,epsilon,converged,gradient,m,v,beta1,beta2,alpha
276,276,[2.64581604317467 2.74310540456960],483.634647157529,<built-in function sum>,0.0001,False,[-158.439216872856 -125.336308891047],[-166.238080920554 -126.130025846576],[31661.2541327734 16163.6186876688],0.8,0.9,0.01
277,277,[2.65515594584132 2.75302612921920],480.940524221861,<built-in function sum>,0.0001,False,[-156.567794300204 -125.137891908608],[-164.304023596484 -125.931599058982],[30946.4761406991 16113.2060180350],0.8,0.9,0.01
278,278,[2.66449316365118 2.76294672900594],478.266062688671,<built-in function sum>,0.0001,False,[-154.711693750092 -124.939477415616],[-162.385557627205 -125.733174730309],[30245.3993449315 16062.8727179202],0.8,0.9,0.01
279,279,[2.67382767573518 2.77286720353749],475.611113695407,<built-in function sum>,0.0001,False,[-152.870847984385 -124.741065419881],[-160.482615698641 -125.534752868224],[29557.8090267848 16012.6187863369],0.8,0.9,0.01
280,280,[2.68315946098944 2.78278755241970],472.975529050645,<built-in function sum>,0.0001,False,[-151.045189784688 -124.542655929250],[-158.595130515851 -125.336333480429],[28883.4930598156 15962.4442222944],0.8,0.9,0.01
281,281,[2.69248849807186 2.79270777525652],470.359161233878,<built-in function sum>,0.0001,False,[-149.234651952498 -124.344248951606],[-156.723034803180 -125.137916574664],[28222.2418881723 15912.3490247988],0.8,0.9,0.01
282,282,[2.70181476539867 2.80262787165007],467.761863395314,<built-in function sum>,0.0001,False,[-147.439167309370 -124.145844494870],[-154.866261304418 -124.939502158705],[27573.8485050431 15862.3331928534],0.8,0.9,0.01
283,283,[2.71113824114086 2.81254784120056],465.183489355657,<built-in function sum>,0.0001,False,[-145.658668697078 -123.947442566999],[-153.024742782950 -124.741090240364],[26938.1084311993 15812.3967254580],0.8,0.9,0.01
284,284,[2.72045890322060 2.82246768350631],462.623893605903,<built-in function sum>,0.0001,False,[-143.893088977778 -123.749043175989],[-151.198412021916 -124.542680827489],[26314.8196936361 15762.5396216095],0.8,0.9,0.01
285,285,[2.72977672930758 2.83238739816376],460.082931307123,<built-in function sum>,0.0001,False,[-142.142361034175 -123.550646329874],[-149.387201824368 -124.344273927966],[25703.7828043094 15712.7618803015],0.8,0.9,0.01
286,286,[2.73909169681529 2.84230698476740],457.560458290247,<built-in function sum>,0.0001,False,[-140.406417769695 -123.352252036725],[-147.591045013433 -124.145869549718],[25104.8007389703 15663.0635005245],0.8,0.9,0.01
287,287,[2.74840378289723 2.85222644290981],455.056331055848,<built-in function sum>,0.0001,False,[-138.685192108651 -123.153860304652],[-145.809874432477 -123.947467700705],[24517.6789160946 15613.4444812658],0.8,0.9,0.01
288,288,[2.75771296444304 2.86214577218162],452.570406773925,<built-in function sum>,0.0001,False,[-136.978616996416 -122.955471141804],[-144.043622945265 -123.749068388924],[23942.2251759102 15563.9048215095],0.8,0.9,0.01
289,289,[2.76701921807456 2.87206497217150],450.102543283676,<built-in function sum>,0.0001,False,[-135.286625399603 -122.757084556368],[-142.292223436132 -123.550671622413],[23378.2497595205 15514.4445202365],0.8,0.9,0.01
290,290,[2.77632252014187 2.88198404246617],447.652599093284,<built-in function sum>,0.0001,False,[-133.609150306234 -122.558700556570],[-140.555608810152 -123.352277409244],[22825.5652881238 15465.0635764243],0.8,0.9,0.01
291,291,[2.78562284671918 2.89190298265036],445.220433379683,<built-in function sum>,0.0001,False,[-131.946124725925 -122.360319150677],[-138.833711993307 -123.153885757531],[22283.9867423303 15415.7619890475],0.8,0.9,0.01
292,292,[2.79492017360070 2.90182179230680],442.805905988340,<built-in function sum>,0.0001,False,[-130.297481690066 -122.161940346993],[-137.126465932659 -122.955496675423],[21753.3314415746 15366.5397570769],0.8,0.9,0.01
293,293,[2.80421447629641 2.91174047101624],440.408877433021,<built-in function sum>,0.0001,False,[-128.663154252002 -121.963564153864],[-135.433803596527 -122.757110171111],[21233.4190236246 15317.3968794806],0.8,0.9,0.01
294,294,[2.81350573002777 2.92165901835739],438.029208895564,<built-in function sum>,0.0001,False,[-127.043075487221 -121.765190579675],[-133.755657974666 -122.558726252824],[20724.0714241873 15268.3333552230],0.8,0.9,0.01
295,295,[2.82279390972336 2.93157743390693],435.666762225643,<built-in function sum>,0.0001,False,[-125.437178493542 -121.566819632852],[-132.091962078441 -122.360344928830],[20225.1128566107 15219.3491832653],0.8,0.9,0.01
296,296,[2.83207899001439 2.94149571723952],433.321399940538,<built-in function sum>,0.0001,False,[-123.845396391303 -121.368451321861],[-130.442648941014 -122.161966207436],[19736.3697916815 15170.4443625655],0.8,0.9,0.01
297,297,[2.84136094523017 2.95141386792773],430.992985224895,<built-in function sum>,0.0001,False,[-122.267662323558 -121.170085655210],[-128.807651617523 -121.963590096991],[19257.6709375201 15121.6188920780],0.8,0.9,0.01
298,298,[2.85063974939352 2.96133188554208],428.681381930490,<built-in function sum>,0.0001,False,[-120.703909456268 -120.971722641445],[-127.186903185272 -121.765216605882],[18788.8472195708 15072.8727707541],0.8,0.9,0.01
299,299,[2.85991537621600 2.97124976965102],426.386454575987,<built-in function sum>,0.0001,False,[-119.154070978500 -120.773362289158],[-125.580336743917 -121.566845742537],[18329.7317606886 15024.2059975415],0.8,0.9,0.01
300,300,[2.86918779909319 2.98116751982087],424.108068346695,<built-in function sum>,0.0001,False,[-117.618080102628 -120.575004606980],[-123.987885415659 -121.368477515426],[17880.1598613226 14975.6185713847],0.8,0.9,0.01
301,301,[2.87845699109975 2.99108513561586],421.846089094325,<built-in function sum>,0.0001,False,[-116.095870064537 -120.376649603583],[-122.409482345435 -121.170111933057],[17439.9689797945 14927.1104912246],0.8,0.9,0.01
302,302,[2.88772292498447 3.00100261659810],419.600383336743,<built-in function sum>,0.0001,False,[-114.587374123823 -120.178297287683],[-120.845060701112 -120.971749003982],[17008.9987126744 14878.6817559988],0.8,0.9,0.01
303,303,[2.89698557316519 3.01091996232755],417.370818257719,<built-in function sum>,0.0001,False,[-113.092525564006 -119.979947668038],[-119.294553673691 -120.773388736793],[16587.0907752515 14830.3323646414],0.8,0.9,0.01
304,304,[2.90624490772365 3.02083717236202],415.157261706675,<built-in function sum>,0.0001,False,[-111.611257692738 -119.781600753449],[-117.757894477501 -120.575031140124],[16174.0889821018 14782.0623160832],0.8,0.9,0.01
305,305,[2.91550090040023 3.03075424625717],412.959582198437,<built-in function sum>,0.0001,False,[-110.143503842020 -119.583256552760],[-116.235016350404 -120.376676222651],[15769.8392277513 14733.8716092512],0.8,0.9,0.01
306,306,[2.92475352258857 3.04067118356646],410.777648912972,<built-in function sum>,0.0001,False,[-108.689197368411 -119.384915074857],[-114.725852554006 -120.178323993093],[15374.1894674351 14685.7602430691],0.8,0.9,0.01
307,307,[2.93400274533014 3.05058798384116],408.611331695133,<built-in function sum>,0.0001,False,[-107.248271653253 -119.186576328671],[-113.230336373855 -119.979974460208],[14986.9896979526 14637.7282164572],0.8,0.9,0.01
308,308,[2.94324853930865 3.06050464663035],406.460501054401,<built-in function sum>,0.0001,False,[-105.820660102891 -118.988240323177],[-111.748401119662 -119.781627632802],[14608.0919386185 14589.7755283321],0.8,0.9,0.01
309,309,[2.95249087484441 3.07042117148086],404.325028164618,<built-in function sum>,0.0001,False,[-104.406296148897 -118.789907067393],[-110.279980125509 -119.583283519720],[14237.3502123098 14541.9021776069],0.8,0.9,0.01
310,310,[2.96172972188852 3.08033755793730],402.204784863722,<built-in function sum>,0.0001,False,[-103.005113248298 -118.591576570383],[-108.825006750067 -119.384942129853],[13874.6205266083 14494.1081631911],0.8,0.9,0.01
311,311,[2.97096505001700 3.09025380554203],400.099643653483,<built-in function sum>,0.0001,False,[-101.617044883805 -118.393248841254],[-107.383414376815 -119.186603472133],[13519.7608550392 14446.3934839907],0.8,0.9,0.01
312,312,[2.98019682842479 3.10016991383513],398.009477699229,<built-in function sum>,0.0001,False,[-100.242024564051 -118.194923889159],[-105.955136414262 -118.988267555538],[13172.6311184052 14398.7581389080],0.8,0.9,0.01
313,313,[2.98942502591964 3.11008588235441],395.934160829574,<built-in function sum>,0.0001,False,[-98.8799858238226 -117.996601723297],[-104.540106296174 -118.789934389090],[12833.0931662167 14351.2021268419],0.8,0.9,0.01
314,314,[2.99864961091587 3.12000171063537],393.873567536146,<built-in function sum>,0.0001,False,[-97.5308622243029 -117.798282352912],[-103.138257481800 -118.591603981854],[12501.0107582166 14303.7254466873],0.8,0.9,0.01
315,315,[3.00787055142799 3.12991739821121],391.827572973303,<built-in function sum>,0.0001,False,[-96.1945873533140 -117.599965787293],[-101.749523456103 -118.393276342942],[12176.2495460024 14256.3280973358],0.8,0.9,0.01
316,316,[3.01708781506427 3.13983294461279],389.796052957860,<built-in function sum>,0.0001,False,[-94.8710948255635 -117.401652035776],[-100.373837729995 -118.194951481509],[11858.6770547422 14209.0100776752],0.8,0.9,0.01
317,317,[3.02630136902011 3.14974834936865],387.778883968799,<built-in function sum>,0.0001,False,[-93.5603182828940 -117.203341107744],[-99.0111338405747 -117.996629406756],[11548.1626649877 14161.7713865895],0.8,0.9,0.01
318,318,[3.03551118007131 3.15966361200494],385.775943146988,<built-in function sum>,0.0001,False,[-92.2621913945364 -117.005033012627],[-97.6613453513670 -117.798310127930],[11244.5775945811 14114.6120229591],0.8,0.9,0.01
319,319,[3.04471721456722 3.16957873204546],383.787108294892,<built-in function sum>,0.0001,False,[-90.9766478573666 -116.806727759901],[-96.3244058525670 -117.599993654324],[10947.7948806593 14067.5319856608],0.8,0.9,0.01
320,320,[3.05391943842370 3.17949370901161],381.812257876278,<built-in function sum>,0.0001,False,[-89.7036213961656 -116.608425359091],[-95.0002489612867 -117.401679995278],[10657.6893617520 14020.5312735674],0.8,0.9,0.01
321,321,[3.06311781711606 3.18940854242239],379.851271015927,<built-in function sum>,0.0001,False,[-88.4430457638831 -116.410125819768],[-93.6888083218060 -117.203369160176],[10374.1376599761 13973.6098855481],0.8,0.9,0.01
322,322,[3.07231231567171 3.19932323179436],377.904027499331,<built-in function sum>,0.0001,False,[-87.1948547419049 -116.211829151552],[-92.3900176058257 -117.005061158451],[10097.0181633247 13926.7678204682],0.8,0.9,0.01
323,323,[3.08150289866277 3.20923777664166],375.970407772400,<built-in function sum>,0.0001,False,[-85.9589821403243 -116.013535364113],[-91.1038105127254 -116.806755999583],[9826.21100805225 13880.0050771894],0.8,0.9,0.01
324,324,[3.09068953019853 3.21915217647598],374.050292941152,<built-in function sum>,0.0001,False,[-84.7353617982163 -115.815244467167],[-89.8301207698236 -116.608453693100],[9561.59806115448 13833.3216545694],0.8,0.9,0.01
325,325,[3.09987217391768 3.22906643080651],372.143564771415,<built-in function sum>,0.0001,False,[-83.5239275839169 -115.616956470480],[-88.5688821326423 -116.410154248576],[9303.06290294337 13786.7175514622],0.8,0.9,0.01
326,326,[3.10905079298048 3.23898053913998],370.250105688513,<built-in function sum>,0.0001,False,[-82.3246133953053 -115.418671383870],[-87.3200283851749 -116.211857675635],[9050.49080971769 13740.1927667177],0.8,0.9,0.01
327,327,[3.11822535006072 3.24889450098060],368.369798776956,<built-in function sum>,0.0001,False,[-81.1373531600910 -115.220389217200],[-86.0834933401581 -116.013563983948],[8803.76873652845 13693.7472991823],0.8,0.9,0.01
328,328,[3.12739580733752 3.25880831583007],366.502527780125,<built-in function sum>,0.0001,False,[-79.9620808361039 -115.022109980388],[-84.8592108393473 -115.815273183236],[8562.78530003957 13647.3811476981],0.8,0.9,0.01
329,329,[3.13656212648698 3.26872198318753],364.648177099959,<built-in function sum>,0.0001,False,[-78.7987304115892 -114.823833683399],[-83.6471147537956 -115.616985283269],[8327.43076148344 13601.0943111036],0.8,0.9,0.01
330,330,[3.14572426867369 3.27863550254959],362.806631796625,<built-in function sum>,0.0001,False,[-77.6472359055069 -114.625560336249],[-82.4471389841379 -115.418700293865],[8097.59700971164 13554.8867882331],0.8,0.9,0.01
331,331,[3.15488219454199 3.28854887341026],360.977777588203,<built-in function sum>,0.0001,False,[-76.5075313678346 -114.427289949008],[-81.2592174608772 -115.220418224893],[7873.17754434050 13508.7585779173],0.8,0.9,0.01
332,332,[3.16403586420713 3.29846209526099],359.161500850352,<built-in function sum>,0.0001,False,[-75.3795508798755 -114.229022531795],[-80.0832841446769 -115.022139086274],[7654.06745899162 13462.7096789825],0.8,0.9,0.01
333,333,[3.17318523724619 3.30837516759059],357.357688615983,<built-in function sum>,0.0001,False,[-74.2632285545701 -114.030758094780],[-78.9192730266555 -114.823862887975],[7440.16342462729 13416.7400902512],0.8,0.9,0.01
334,334,[3.18233027268890 3.31828808988526],355.566228574924,<built-in function sum>,0.0001,False,[-73.1584985368134 -113.832496648188],[-77.7671181286871 -114.625589640018],[7231.36367298065 13370.8498105421],0.8,0.9,0.01
335,335,[3.19147092900816 3.32820086162855],353.787009073583,<built-in function sum>,0.0001,False,[-72.0652950037760 -113.634238202295],[-76.6267535037049 -114.427319352473],[7027.56798008071 13325.0388386695],0.8,0.9,0.01
336,336,[3.20060716411044 3.33811348230135],352.019919114605,<built-in function sum>,0.0001,False,[-70.9835521652299 -113.435982767429],[-75.4981132360099 -114.229052035464],[6828.67764987203 13279.3071734438],0.8,0.9,0.01
337,337,[3.20973893532600 3.34802595138187],350.264848356531,<built-in function sum>,0.0001,False,[-69.9132042638796 -113.237730353973],[-74.3811314415838 -114.030787699166],[6634.59549792913 13233.6548136713],0.8,0.9,0.01
338,338,[3.21886619939882 3.35793826834561],348.521687113448,<built-in function sum>,0.0001,False,[-68.8541855756976 -113.039480972363],[-73.2757422684066 -113.832526353805],[6445.22583526547 13188.0817581543],0.8,0.9,0.01
339,339,[3.22798891247644 3.36785043266537],346.790326354637,<built-in function sum>,0.0001,False,[-67.8064304102654 -112.841234633088],[-72.1818798967783 -113.634268009662],[6260.47445223714 13142.5880056908],0.8,0.9,0.01
