,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
34,adam,g,34,,[0.999900009999000 0.999990000099999],7.26006799626018,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.972187161055631 97.2187161055631],0.25,0.9,0.01,,,5.66003399660034,9.66000339996598
35,adam,g,35,,[0.999900009999000 0.999990000099999],7.15006999615018,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.974968444950068 97.4968444950068],0.25,0.9,0.01,,,5.65003499650035,9.65000349996498
36,adam,g,36,,[0.999900009999000 0.999990000099999],7.04007199604019,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.977471600455061 97.7471600455061],0.25,0.9,0.01,,,5.64003599640036,9.64000359996398
37,adam,g,37,,[0.999900009999000 0.999990000099999],6.93007399593020,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.979724440409555 97.9724440409555],0.25,0.9,0.01,,,5.63003699630037,9.63000369996298
38,adam,g,38,,[0.999900009999000 0.999990000099999],6.82007599582020,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.981751996368599 98.1751996368599],0.25,0.9,0.01,,,5.62003799620038,9.62000379996198
39,adam,g,39,,[0.999900009999000 0.999990000099999],6.71007799571021,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.983576796731739 98.3576796731739],0.25,0.9,0.01,,,5.61003899610039,9.61000389996098
40,adam,g,40,,[0.999900009999000 0.999990000099999],6.60007999560021,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.985219117058565 98.5219117058566],0.25,0.9,0.01,,,5.60003999600040,9.60000399995998
41,adam,g,41,,[0.999900009999000 0.999990000099999],6.49008199549022,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.986697205352709 98.6697205352709],0.25,0.9,0.01,,,5.59004099590041,9.59000409995898
42,adam,g,42,,[0.999900009999000 0.999990000099999],6.38008399538022,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.988027484817438 98.8027484817438],0.25,0.9,0.01,,,5.58004199580042,9.58000419995798
43,adam,g,43,,[0.999900009999000 0.999990000099999],6.27008599527023,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.989224736335694 98.9224736335694],0.25,0.9,0.01,,,5.57004299570043,9.57000429995698
44,adam,g,44,,[0.999900009999000 0.999990000099999],6.16008799516023,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.990302262702125 99.0302262702125],0.25,0.9,0.01,,,5.56004399560045,9.56000439995598
45,adam,g,45,,[0.999900009999000 0.999990000099999],6.05008999505024,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.991272036431912 99.1272036431912],0.25,0.9,0.01,,,5.55004499550046,9.55000449995498
46,adam,g,46,,[0.999900009999000 0.999990000099999],5.94009199494024,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.992144832788721 99.2144832788721],0.25,0.9,0.01,,,5.54004599540047,9.54000459995398
47,adam,g,47,,[0.999900009999000 0.999990000099999],5.83009399483025,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.992930349509849 99.2930349509849],0.25,0.9,0.01,,,5.53004699530048,9.53000469995298
48,adam,g,48,,[0.999900009999000 0.999990000099999],5.72009599472025,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.993637314558864 99.3637314558864],0.25,0.9,0.01,,,5.52004799520049,9.52000479995198
49,adam,g,49,,[0.999900009999000 0.999990000099999],5.61009799461026,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.994273583102978 99.4273583102978],0.25,0.9,0.01,,,5.51004899510050,9.51000489995098
50,adam,g,50,,[0.999900009999000 0.999990000099999],5.50009999450026,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.994846224792680 99.4846224792680],0.25,0.9,0.01,,,5.50004999500051,9.50000499994998
51,adam,g,51,,[0.999900009999000 0.999990000099999],5.39010199439027,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.995361602313412 99.5361602313412],0.25,0.9,0.01,,,5.49005099490052,9.49000509994898
52,adam,g,52,,[0.999900009999000 0.999990000099999],5.28010399428027,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.995825442082071 99.5825442082071],0.25,0.9,0.01,,,5.48005199480053,9.48000519994797
53,adam,g,53,,[0.999900009999000 0.999990000099999],5.17010599417028,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.996242897873864 99.6242897873864],0.25,0.9,0.01,,,5.47005299470054,9.47000529994697
54,adam,g,54,,[0.999900009999000 0.999990000099999],5.06010799406029,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.996618608086477 99.6618608086477],0.25,0.9,0.01,,,5.46005399460055,9.46000539994597
55,adam,g,55,,[0.999900009999000 0.999990000099999],4.95010999395029,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.996956747277830 99.6956747277830],0.25,0.9,0.01,,,5.45005499450056,9.45000549994497
56,adam,g,56,,[0.999900009999000 0.999990000099999],4.84011199384030,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.997261072550047 99.7261072550047],0.25,0.9,0.01,,,5.44005599440057,9.44000559994397
57,adam,g,57,,[0.999900009999000 0.999990000099999],4.73011399373030,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.997534965295042 99.7534965295042],0.25,0.9,0.01,,,5.43005699430058,9.43000569994297
58,adam,g,58,,[0.999900009999000 0.999990000099999],4.62011599362031,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.997781468765538 99.7781468765538],0.25,0.9,0.01,,,5.42005799420059,9.42000579994197
59,adam,g,59,,[0.999900009999000 0.999990000099999],4.51011799351031,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998003321888984 99.8003321888984],0.25,0.9,0.01,,,5.41005899410060,9.41000589994097
60,adam,g,60,,[0.999900009999000 0.999990000099999],4.40011999340032,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998202989700086 99.8202989700086],0.25,0.9,0.01,,,5.40005999400061,9.40000599993997
61,adam,g,61,,[0.999900009999000 0.999990000099999],4.29012199329032,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998382690730077 99.8382690730077],0.25,0.9,0.01,,,5.39006099390062,9.39000609993897
62,adam,g,62,,[0.999900009999000 0.999990000099999],4.18012399318033,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998544421657069 99.8544421657070],0.25,0.9,0.01,,,5.38006199380063,9.38000619993797
63,adam,g,63,,[0.999900009999000 0.999990000099999],4.07012599307033,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998689979491362 99.8689979491363],0.25,0.9,0.01,,,5.37006299370064,9.37000629993697
64,adam,g,64,,[0.999900009999000 0.999990000099999],3.96012799296034,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998820981542226 99.8820981542226],0.25,0.9,0.01,,,5.36006399360065,9.36000639993597
65,adam,g,65,,[0.999900009999000 0.999990000099999],3.85012999285034,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.998938883388004 99.8938883388004],0.25,0.9,0.01,,,5.35006499350066,9.35000649993497
66,adam,g,66,,[0.999900009999000 0.999990000099999],3.74013199274035,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999044995049203 99.9044995049203],0.25,0.9,0.01,,,5.34006599340067,9.34000659993397
67,adam,g,67,,[0.999900009999000 0.999990000099999],3.63013399263035,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999140495544283 99.9140495544283],0.25,0.9,0.01,,,5.33006699330068,9.33000669993297
68,adam,g,68,,[0.999900009999000 0.999990000099999],3.52013599252036,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999226445989855 99.9226445989855],0.25,0.9,0.01,,,5.32006799320069,9.32000679993197
69,adam,g,69,,[0.999900009999000 0.999990000099999],3.41013799241036,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999303801390869 99.9303801390869],0.25,0.9,0.01,,,5.31006899310070,9.31000689993097
70,adam,g,70,,[0.999900009999000 0.999990000099999],3.30013999230037,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999373421251782 99.9373421251782],0.25,0.9,0.01,,,5.30006999300071,9.30000699992997
71,adam,g,71,,[0.999900009999000 0.999990000099999],3.19014199219037,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.999436079126604 99.9436079126604],0.25,0.9,0.01,,,5.29007099290072,9.29000709992897
