,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
13,heavy_ball,relu,13,[0.164692930918157],[0.00953861686847897],-2.41347435549610,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.176280627167100],-2.41347435549610
14,heavy_ball,relu,14,[0.164692930918157],[0.00953861686847897],-2.57212691994649,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.158652564450390],-2.57212691994649
15,heavy_ball,relu,15,[0.164692930918157],[0.00953861686847897],-2.71491422795184,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.142787308005351],-2.71491422795184
16,heavy_ball,relu,16,[0.164692930918157],[0.00953861686847897],-2.84342280515666,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.128508577204816],-2.84342280515666
17,heavy_ball,relu,17,[0.164692930918157],[0.00953861686847897],-2.95908052464099,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.115657719484334],-2.95908052464099
18,heavy_ball,relu,18,[0.164692930918157],[0.00953861686847897],-3.06317247217689,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.104091947535901],-3.06317247217689
19,heavy_ball,relu,19,[0.164692930918157],[0.00953861686847897],-3.15685522495920,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0936827527823108],-3.15685522495920
20,heavy_ball,relu,20,[0.164692930918157],[0.00953861686847897],-3.24116970246328,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0843144775040797],-3.24116970246328
21,heavy_ball,relu,21,[0.164692930918157],[0.00953861686847897],-3.31705273221695,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0758830297536718],-3.31705273221695
22,heavy_ball,relu,22,[0.164692930918157],[0.00953861686847897],-3.38534745899526,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0682947267783046],-3.38534745899526
23,heavy_ball,relu,23,[0.164692930918157],[0.00953861686847897],-3.44681271309573,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0614652541004741],-3.44681271309573
24,heavy_ball,relu,24,[0.164692930918157],[0.00953861686847897],-3.50213144178616,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0553187286904267],-3.50213144178616
25,heavy_ball,relu,25,[0.164692930918157],[0.00953861686847897],-3.55191829760754,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0497868558213840],-3.55191829760754
26,heavy_ball,relu,26,[0.164692930918157],[0.00953861686847897],-3.59672646784679,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0448081702392456],-3.59672646784679
27,heavy_ball,relu,27,[0.164692930918157],[0.00953861686847897],-3.63705382106211,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0403273532153211],-3.63705382106211
28,heavy_ball,relu,28,[0.164692930918157],[0.00953861686847897],-3.67334843895590,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0362946178937890],-3.67334843895590
29,heavy_ball,relu,29,[0.164692930918157],[0.00953861686847897],-3.70601359506031,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0326651561044101],-3.70601359506031
30,heavy_ball,relu,30,[0.164692930918157],[0.00953861686847897],-3.73541223555428,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0293986404939691],-3.73541223555428
31,heavy_ball,relu,31,[0.164692930918157],[0.00953861686847897],-3.76187101199885,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0264587764445722],-3.76187101199885
32,heavy_ball,relu,32,[0.164692930918157],[0.00953861686847897],-3.78568391079897,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0238128988001149],-3.78568391079897
33,heavy_ball,relu,33,[0.164692930918157],[0.00953861686847897],-3.80711551971907,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0214316089201035],-3.80711551971907
34,heavy_ball,relu,34,[0.164692930918157],[0.00953861686847897],-3.82640396774716,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.0192884480280931],-3.82640396774716
