,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
46,rmsprop,relu,46,[0.100385009337204],[0.00912034456046449],94.4904884410053,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.992144832788721],[0.000908510725824641],94.4904884410053
47,rmsprop,relu,47,[0.100345297694312],[0.00912034456046449],94.3901034316681,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.992930349509849],[0.000908510725824641],94.3901034316681
48,rmsprop,relu,48,[0.100309597483136],[0.00912034456046449],94.2897581339737,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.993637314558864],[0.000908510725824641],94.2897581339737
49,rmsprop,relu,49,[0.100277499851493],[0.00912034456046449],94.1894485364906,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.994273583102978],[0.000908510725824641],94.1894485364906
50,rmsprop,relu,50,[0.100248638313002],[0.00912034456046449],94.0891710366391,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.994846224792680],[0.000908510725824641],94.0891710366391
51,rmsprop,relu,51,[0.100222684224860],[0.00912034456046449],93.9889223983261,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.995361602313412],[0.000908510725824641],93.9889223983261
52,rmsprop,relu,52,[0.100199342773294],[0.00912034456046449],93.8886997141013,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.995825442082071],[0.000908510725824641],93.8886997141013
53,rmsprop,relu,53,[0.100178349405068],[0.00912034456046449],93.7885003713280,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.996242897873864],[0.000908510725824641],93.7885003713280
54,rmsprop,relu,54,[0.100159466651726],[0.00912034456046449],93.6883220219229,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.996618608086477],[0.000908510725824641],93.6883220219229
55,rmsprop,relu,55,[0.100142481300309],[0.00912034456046449],93.5881625552712,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.996956747277830],[0.000908510725824641],93.5881625552712
56,rmsprop,relu,56,[0.100127201870282],[0.00912034456046449],93.4880200739709,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.997261072550047],[0.000908510725824641],93.4880200739709
57,rmsprop,relu,57,[0.100113456361540],[0.00912034456046449],93.3878928721006,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.997534965295042],[0.000908510725824641],93.3878928721006
