,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
17,adam,relu,17,[1000.00000000000],[27.8320060618744],-6.36372380484710,0.0001,False,[0],[0.364669183003334],[0.000244140566792339],0.9,0.25,0.1,[0],[0],-6.36372380484710
18,adam,relu,18,[1000.00000000000],[48.8042149263921],-11.2441452974863,0.0001,False,[0],[0.328202264703001],[6.10351416980848e-5],0.9,0.25,0.1,[0],[0],-11.2441452974863
19,adam,relu,19,[1000.00000000000],[85.2457515101141],-19.7687204484977,0.0001,False,[0],[0.295382038232701],[1.52587854245212e-5],0.9,0.25,0.1,[0],[0],-19.7687204484977
20,adam,relu,20,[1000.00000000000],[147.403359288904],-34.5090563773881,0.0001,False,[0],[0.265843834409431],[3.81469635613030e-6],0.9,0.25,0.1,[0],[0],-34.5090563773881
21,adam,relu,21,[1000.00000000000],[249.549365555978],-59.4639929329859,0.0001,False,[0],[0.239259450968488],[9.53674089032575e-7],0.9,0.25,0.1,[0],[0],-59.4639929329859
22,adam,relu,22,[1000.00000000000],[406.022293477920],-100.066222280778,0.0001,False,[0],[0.215333505871639],[2.38418522258144e-7],0.9,0.25,0.1,[0],[0],-100.066222280778
23,adam,relu,23,[1000.00000000000],[617.907107659927],-161.856933046771,0.0001,False,[0],[0.193800155284475],[5.96046305645359e-8],0.9,0.25,0.1,[0],[0],-161.856933046771
24,adam,relu,24,[1000.00000000000],[853.508968261336],-247.207829872904,0.0001,False,[0],[0.174420139756028],[1.49011576411340e-8],0.9,0.25,0.1,[0],[0],-247.207829872904
25,adam,relu,25,[1000.00000000000],[1050.20026392913],-352.227856265817,0.0001,False,[0],[0.156978125780425],[3.72528941028349e-9],0.9,0.25,0.1,[0],[0],-352.227856265817
26,adam,relu,26,[1000.00000000000],[1157.23167455662],-467.951023721480,0.0001,False,[0],[0.141280313202382],[9.31322352570874e-10],0.9,0.25,0.1,[0],[0],-467.951023721480
27,adam,relu,27,[1000.00000000000],[1171.30028635839],-585.081052357319,0.0001,False,[0],[0.127152281882144],[2.32830588142718e-10],0.9,0.25,0.1,[0],[0],-585.081052357319
28,adam,relu,28,[1000.00000000000],[1121.96891533096],-697.277943890414,0.0001,False,[0],[0.114437053693930],[5.82076470356796e-11],0.9,0.25,0.1,[0],[0],-697.277943890414
29,adam,relu,29,[1000.00000000000],[1041.12673058945],-801.390616949360,0.0001,False,[0],[0.102993348324537],[1.45519117589199e-11],0.9,0.25,0.1,[0],[0],-801.390616949360
30,adam,relu,30,[1000.00000000000],[949.856585098300],-896.376275459190,0.0001,False,[0],[0.0926940134920830],[3.63797793972997e-12],0.9,0.25,0.1,[0],[0],-896.376275459190
31,adam,relu,31,[1000.00000000000],[859.143362898737],-982.290611749063,0.0001,False,[0],[0.0834246121428747],[9.09494484932494e-13],0.9,0.25,0.1,[0],[0],-982.290611749063
32,adam,relu,32,[1000.00000000000],[773.829150794825],-1059.67352682855,0.0001,False,[0],[0.0750821509285873],[2.27373621233123e-13],0.9,0.25,0.1,[0],[0],-1059.67352682855
33,adam,relu,33,[1000.00000000000],[695.629240171234],-1129.23645084567,0.0001,False,[0],[0.0675739358357286],[5.68434053082809e-14],0.9,0.25,0.1,[0],[0],-1129.23645084567
34,adam,relu,34,[1000.00000000000],[624.819294563320],-1191.71838030200,0.0001,False,[0],[0.0608165422521557],[1.42108513270702e-14],0.9,0.25,0.1,[0],[0],-1191.71838030200
35,adam,relu,35,[1000.00000000000],[561.067214151781],-1247.82510171718,0.0001,False,[0],[0.0547348880269401],[3.55271283176755e-15],0.9,0.25,0.1,[0],[0],-1247.82510171718
36,adam,relu,36,[1000.00000000000],[503.817425857146],-1298.20684430289,0.0001,False,[0],[0.0492613992242461],[8.88178207941888e-16],0.9,0.25,0.1,[0],[0],-1298.20684430289
37,adam,relu,37,[1000.00000000000],[452.460426524806],-1343.45288695537,0.0001,False,[0],[0.0443352593018215],[2.22044551985472e-16],0.9,0.25,0.1,[0],[0],-1343.45288695537
38,adam,relu,38,[1000.00000000000],[406.403662332782],-1384.09325318865,0.0001,False,[0],[0.0399017333716394],[5.55111379963680e-17],0.9,0.25,0.1,[0],[0],-1384.09325318865
39,adam,relu,39,[1000.00000000000],[365.098306445740],-1420.60308383323,0.0001,False,[0],[0.0359115600344754],[1.38777844990920e-17],0.9,0.25,0.1,[0],[0],-1420.60308383323
40,adam,relu,40,[1000.00000000000],[328.046842253404],-1453.40776805857,0.0001,False,[0],[0.0323204040310279],[3.46944612477300e-18],0.9,0.25,0.1,[0],[0],-1453.40776805857
41,adam,relu,41,[1000.00000000000],[294.802626035465],-1482.88803066211,0.0001,False,[0],[0.0290883636279251],[8.67361531193250e-19],0.9,0.25,0.1,[0],[0],-1482.88803066211
42,adam,relu,42,[1000.00000000000],[264.966367434894],-1509.38466740560,0.0001,False,[0],[0.0261795272651326],[2.16840382798313e-19],0.9,0.25,0.1,[0],[0],-1509.38466740560
43,adam,relu,43,[1000.00000000000],[238.181667064503],-1533.20283411205,0.0001,False,[0],[0.0235615745386193],[5.42100956995782e-20],0.9,0.25,0.1,[0],[0],-1533.20283411205
44,adam,relu,44,[1000.00000000000],[214.130505372913],-1554.61588464934,0.0001,False,[0],[0.0212054170847574],[1.35525239248945e-20],0.9,0.25,0.1,[0],[0],-1554.61588464934
