,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
35,adam,f,35,332.681536406764,0.0001,False,[-72.0830741031786 -112.575398163064],[-75.8885056650054 -113.234374672226],[7483.05777663727 13130.1145479071],0.25,0.5,0.1,,,3.26990834667684,3.47004981880875
36,adam,f,36,316.836147868179,0.0001,False,[-62.1424796554935 -110.599003623825],[-65.5789861578715 -111.257846385925],[5672.37277718535 12681.1270752449],0.25,0.5,0.1,,,3.35698099215246,3.56884854291686
37,adam,f,37,301.957978863946,0.0001,False,[-53.2241836911116 -108.623029141663],[-56.3128843078016 -109.281733452728],[4252.59325338527 12240.0447675777],0.25,0.5,0.1,,,3.44333453959388,3.66762550828496
38,adam,f,38,287.958383957366,0.0001,False,[-45.2654783267748 -106.647489834301],[-48.0273298220314 -107.306050738908],[3150.77839076849 11806.8659277675],0.25,0.5,0.1,,,3.52889610840947,3.76637991767352
39,adam,f,39,274.754871779934,0.0001,False,[-38.2042148793850 -104.672401646530],[-40.6599936150466 -105.330813919624],[2305.17021265936 11381.5887971100],0.25,0.5,0.1,,,3.61358274836488,3.86511092942923
40,adam,f,40,262.271035818892,0.0001,False,[-31.9788695537059 -102.697781411415],[-34.1491505690411 -103.356039538468],[1663.90915529615 10964.2115519684],0.25,0.5,0.1,,,3.69729982124801,3.96381765413687
41,adam,f,41,250.436476364629,0.0001,False,[-26.5286203286899 -100.723646917263],[-28.4337528887777 -101.381745072564],[1183.83842591996 10554.7323001409],0.25,0.5,0.1,,,3.77993913579366,4.06249915095085
42,adam,f,42,239.186711989423,0.0001,False,[-21.7934374129519 -98.7500169809831],[-23.4535162819084 -99.4079490038783],[829.396170096109 10153.1490769427],0.25,0.5,0.1,,,3.86137682517200,4.16115442356874
43,adam,f,43,228.463078560975,0.0001,False,[-17.7141901742887 -96.7769115286252],[-19.1490217011937 -97.4346708974385],[571.594351813488 9759.45984098101],0.25,0.5,0.1,,,3.94147097769526,4.25978241580441
44,adam,f,44,218.212613341906,0.0001,False,[-14.2327740720918 -94.8043516839118],[-15.4618359793673 -95.4619314872935],[387.083104800348 9373.66246959393],0.25,0.5,0.1,,,4.02005907000203,4.35838200671201
45,adam,f,45,208.387921180528,0.0001,False,[-11.2922618132207 -92.8323598657599],[-12.3346553547574 -93.4897527711433],[257.299140829336 8995.75475391993],0.25,0.5,0.1,,,4.09695531694302,4.45695200520533
46,adam,f,46,198.947019160443,0.0001,False,[-8.83708364771096 -90.8609598958934],[-9.71147657447256 -91.5181581147059],[167.696594112988 8625.73439356155],0.25,0.5,0.1,,,4.17194815545038,4.55549114410861
47,adam,f,47,189.853155372772,0.0001,False,[-6.81324228069474 -88.8901771178279],[-7.53780085413919 -89.5471723670474],[107.058432244217 8263.59899080018],0.25,0.5,0.1,,,4.24479823366689,4.65399807356548
48,adam,f,48,181.074596779312,0.0001,False,[-5.16856803333215 -86.9200385286904],[-5.76087623853391 -87.5768219882797],[66.8862638797001 7909.34604431460],0.25,0.5,0.1,,,4.31523749063810,4.75247135372142
49,adam,f,49,172.584380605364,0.0001,False,[-3.85301917509985 -84.9505729255716],[-4.32998344095837 -85.6071351912486],[40.8660103216936 7562.97294234873],0.25,0.5,0.1,,,4.38297018029336,4.85090944658175
50,adam,f,50,164.360023623668,0.0001,False,[-2.81903004898646 -82.9818110683651],[-3.19676839697944 -83.6381420990860],[24.4064703693911 7224.47695526728],0.25,0.5,0.1,,,4.44767697599065,4.94931070693161
51,adam,f,51,156.383184517170,0.0001,False,[-2.02190473141742 -81.0137858613678],[-2.31562064780792 -81.6698749207974],[14.2472845561596 6893.85522742942],0.25,0.5,0.1,,,4.50902348567219,5.04767337218570
52,adam,f,52,148.639276835665,0.0001,False,[-1.42024543157342 -79.0465325562859],[-1.64408923563204 -79.7023681474138],[8.13219082103240 6571.10476830070],0.25,0.5,0.1,,,4.56667442349275,5.14599555101334
53,adam,f,53,141.117034478378,0.0001,False,[-0.976392009238753 -77.0800889797331],[-1.14331631583708 -77.7356587716533],[4.54276608836884 6256.22244271214],0.25,0.5,0.1,,,4.62031406144475,5.24427521055785
54,adam,f,54,133.808038349706,0.0001,False,[-0.656832731935093 -75.1144957888431],[-0.778453627910589 -75.7697865345456],[2.48709766305508 5949.20496016213],0.25,0.5,0.1,,,4.66967220193285,5.34251016203749
55,adam,f,55,126.706221122384,0.0001,False,[-0.432530376489808 -73.1497967592501],[-0.519011189345003 -73.8047942030740],[1.33709009482075 5650.04886304087],0.25,0.5,0.1,,,4.71455281994708,5.44069804447678
56,adam,f,56,119.807374822253,0.0001,False,[-0.279099151958024 -71.1860391104644],[-0.339077161304769 -71.8407278836168],[0.707493215722218 5358.75051363871],0.25,0.5,0.1,,,4.75486031129038,5.53883630627022
57,adam,f,57,113.108690102510,0.0001,False,[-0.176775525469411 -69.2232738745955],[-0.217350934428250 -69.8776373768509],[0.369371401063602 5075.30607977799],0.25,0.5,0.1,,,4.79061709321842,5.63692218422435
58,adam,f,58,106.608353883064,0.0001,False,[-0.110155178865083 -67.2615563155130],[-0.136954117755875 -67.9155765808475],[0.190752782247200 4799.71151888146],0.25,0.5,0.1,,,4.82196728689676,5.73495267965439
59,adam,f,59,100.305223129944,0.0001,False,[-0.0677143442085913 -65.3009464069122],[-0.0850242875954123 -65.9546039503960],[0.0976690073293999 4531.96256025994],0.25,0.5,0.1,,,4.84916457939183,5.83292453102713
60,adam,f,60,94.1985797832189,0.0001,False,[-0.0411804664983713 -63.3415093794574],[-0.0521414217726315 -63.9947830221921],[0.0496824190752117 4272.05468536392],0.25,0.5,0.1,,,4.87254685115233,5.93083418253641
61,adam,f,61,88.2879598465101,0.0001,False,[-0.0248446541083341 -61.3833163492718],[-0.0316688460244085 -62.0361830175018],[0.0251498379564872 4019.98310569935],0.25,0.5,0.1,,,4.89250364985127,6.02867774786753
62,adam,f,62,82.5730421220633,0.0001,False,[-0.0149060441221779 -59.4264450426493],[-0.0190967445977355 -60.0788795363625],[0.0126860140539298 3775.74273805318],0.25,0.5,0.1,,,4.90944356889105,6.12645096824370
63,adam,f,63,77.0535799762591,0.0001,False,[-0.00891126053320234 -57.4709806351260],[-0.0114576315493356 -58.1229553604351],[0.00638271230911019 3539.32817660811],0.25,0.5,0.1,,,4.92376706236493,6.22414916364316
64,adam,f,64,71.7293614186227,0.0001,False,[-0.00531629672695717 -55.5170167271369],[-0.00685163043255178 -56.1685013854614],[0.00320548765999962 3310.73366144465],0.25,0.5,0.1,,,4.93584743908256,6.32176717581647
65,adam,f,65,66.6001864284872,0.0001,False,[-0.00316827769046825 -53.5646564836706],[-0.00408911587598914 -54.2156177091183],[0.00160776282176177 3089.95304282914],0.25,0.5,0.1,,,4.94602014906587,6.41929930140338
66,adam,f,66,61.6658541302140,0.0001,False,[-0.00188745362079719 -51.6140139719325],[-0.00243786918459518 -52.2644149062289],[0.000805662651466216 2876.97974056199],0.25,0.5,0.1,,,4.95457882167408,6.51673921302506
67,adam,f,67,56.9261552778102,0.0001,False,[-0.00112449217023492 -49.6652157394988],[-0.00145283642382498 -50.3150155311814],[0.000403463567053568 2671.80669750648],0.25,0.5,0.1,,,4.96177592586760,6.61407986567976
68,adam,f,68,52.3808674289551,0.0001,False,[-0.000670181090914566 -47.7184026864049],[-0.000865844924142171 -48.3675558975990],[0.000201956354874094 2474.42632622418],0.25,0.5,0.1,,,4.96782607444610,6.71131338505515
69,adam,f,69,48.0297513510050,0.0001,False,[-0.000399662502867209 -45.7737322988970],[-0.000516208108185949 -46.4221881985725],[0.000101058042495146 2284.83044739764],0.25,0.5,0.1,,,4.97291048458968,6.80843093343072
70,adam,f,70,43.8725478545517,0.0001,False,[-0.000238553039680354 -43.8313813313856],[-0.000307966806806752 -44.4790830481823],[5.05574750239433e-5 2103.01021840749],0.25,0.5,0.1,,,4.97718164495942,6.90542254759493
71,adam,f,71,39.9089745939793,0.0001,False,[-0.000142572001242504 -41.8915490481014],[-0.000183920702633566 -42.5384325481216],[2.52889008997408e-5 1928.95605002848],0.25,0.5,0.1,,,4.98076767771259,7.00227694152716
72,adam,f,72,36.1387225417678,0.0001,False,[-8.53643288919290e-5 -39.9544611694568],[-0.000110003422327338 -40.6004540141230],[1.26480939841940e-5 1762.65750868506],0.25,0.5,0.1,,,4.98377618182235,7.09898126432363
73,adam,f,73,32.5614519116671,0.0001,False,[-5.12436973462695e-5 -38.0203747135273],[-6.59336285915367e-5 -38.6653945386763],[6.32535995035585e-6 1604.10320102104],0.25,0.5,0.1,,,4.98629751842439,7.19552080073202
74,adam,f,74,29.1767873166190,0.0001,False,[-3.08730066467545e-5 -36.0895839853595],[-3.96381621329500e-5 -36.7335366236887],[3.16315654644763e-6 1453.28063662868],0.25,0.5,0.1,,,4.98840758511357,7.29187859733444
75,adam,f,75,25.9843119197126,0.0001,False,[-1.86940325171946e-5 -34.1624280533113],[-2.39300649211335e-5 -34.8052051959056],[1.58175300664969e-6 1310.17606356317],0.25,0.5,0.1,,,4.99017015853254,7.38803499133192
76,adam,f,76,22.9835602764736,0.0001,False,[-1.13977935751925e-5 -32.2393001733617],[-1.45308614116777e-5 -32.8807764289977],[7.90941458174037e-7 1174.77426961565],0.25,0.5,0.1,,,4.99163888826739,7.48396701019364
77,adam,f,77,20.1740094712663,0.0001,False,[-7.01412219168740e-6 -30.3206597961272],[-8.89330699668498e-6 -30.9606889543448],[3.95495328042079e-7 1047.05834004407],0.25,0.5,0.1,,,4.99285901446627,7.57964759783126
78,adam,f,78,17.5550680083596,0.0001,False,[-4.36974109382055e-6 -28.4070480433749],[-5.50063256953666e-6 -29.0454582711174],[1.97757211339653e-7 927.009359291337],0.25,0.5,0.1,,,4.99386886255624,7.67504460436887
79,adam,f,79,15.1260617083812,0.0001,False,[-2.76569574749830e-6 -26.4991079126225],[-3.44942995300789e-6 -27.1356955022463],[9.88824302063103e-8 814.606039728076],0.25,0.5,0.1,,,4.99470114194936,7.77011944864486
80,adam,f,80,12.8862155482031,0.0001,False,[-1.78536946392118e-6 -24.5976110271027],[-2.20138458619285e-6 -25.2321321458886],[4.94428088752165e-8 709.824253984360],0.25,0.5,0.1,,,4.99538404380137,7.86482531974849
81,adam,f,81,10.8346299078754,0.0001,False,[-1.18022900442594e-6 -22.7034936050301],[-1.43551789986767e-6 -23.3356532402447],[2.47221009078597e-8 612.636437929002],0.25,0.5,0.1,,,4.99594210592694,7.95910471674323
82,adam,f,82,8.97024895217673,0.0001,False,[-8.01831962836848e-7 -20.8179056651355],[-9.60253447094552e-7 -21.4473425589128],[1.23613719211782e-8 523.010817105741],0.25,0.5,0.1,,,4.99639681076940,8.05288601785893
