,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
14,adam,f,14,,[-0.111408468443453 0.0589122791683971],3.27059838278318,0.0001,False,[-4.39877177062177 -9.94487409517524],[-0.351471774900050 0.415710832902050],[16.7311807923453 83.7075952336764],0.9,0.5,0.1,,,4.29546439493346,8.49686506732440
15,adam,f,15,,[-0.223650230451297 -0.0827722814413844],3.09851206035399,0.0001,False,[-4.19652760021144 -10.0626986535120],[-0.735977357431189 -0.632130115739358],[17.1710123458408 92.4827497125346],0.9,0.5,0.1,,,4.31782941797859,8.50514229546854
16,adam,f,16,,[-0.321744528551531 -0.196055636962780],2.79415196746563,0.0001,False,[-3.80943183499577 -9.89715409062927],[-1.04332280518765 -1.55863251322835],[15.8413916256600 95.2182044030972],0.9,0.5,0.1,,,4.35000387083374,8.52474785916481
17,adam,f,17,,[-0.416651967973276 -0.293204330412995],2.39939857511038,0.0001,False,[-3.29544112496939 -9.50504281670374],[-1.26853463716582 -2.35327354357589],[13.3506619168998 92.7820216752342],0.9,0.5,0.1,,,4.39166906763107,8.55406829220611
18,adam,f,18,,[-0.516971343791786 -0.381509176744579],1.95085640779078,0.0001,False,[-2.70147495772243 -8.91863415587775],[-1.41182866922148 -3.00980960480607],[10.3243144320506 86.1620284408118],0.9,0.5,0.1,,,4.44336620201025,8.59221920988057
19,adam,f,19,,[-0.632112527378515 -0.466374431735221],1.48207196966612,0.0001,False,[-2.06961690739314 -8.15561580238861],[-1.47760749303865 -3.52439022456433],[7.30381428770908 76.3380487784913],0.9,0.5,0.1,,,4.50657745474810,8.63885665305409
20,adam,f,20,,[-0.774716601734040 -0.553048404763408],1.02517463515480,0.0001,False,[-1.44157822494636 -7.22286693891817],[-1.47400456622942 -3.89423789599971],[4.69098103317429 64.2539277979042],0.9,0.5,0.1,,,4.58404911492150,8.69416149353043
21,adam,f,21,,[-0.962222554721858 -0.648289065406043],0.612206981058474,0.0001,False,[-0.863589601378004 -6.11677012939137],[-1.41296306974428 -4.11649111933888],[2.71838401639126 50.8344023068594],0.9,0.5,0.1,,,4.68027137039369,8.75899040007104
22,adam,f,22,,[-1.21327425057212 -0.763136775222680],0.275895814847785,0.0001,False,[-0.392216468295469 -4.82019199857928],[-1.31088840959940 -4.18686120726292],[1.43610888719671 37.0343266050135],0.9,0.5,0.1,,,4.80159879545090,8.83530407759330
23,adam,f,23,,[-1.53495482572128 -0.918842121985499],0.0530276505398578,0.0001,False,[-0.0937160897672646 -3.29391844813389],[-1.18917117761618 -4.09756693135002],[0.722445796338990 23.9421126739852],0.9,0.5,0.1,,,4.95509427802303,8.92718828979186
24,adam,f,24,,[-1.93496294298836 -1.15393907965846],0.0195949033369616,0.0001,False,[-0.00108664152118530 -1.45623420416288],[-1.07036272400668 -3.83343365863130],[0.361223488564393 13.0313653656795],0.9,0.5,0.1,,,5.14859057232187,9.04258219775770
25,adam,f,25,,[-2.42629694570418 -1.38220052603476],0.397170472733075,0.0001,False,[0.0393690570094569 0.851643955154032],[-0.959389545905070 -3.36492589725277],[0.181386705607103 6.87833139601497],0.9,0.5,0.1,,,5.39122026689228,9.18080225036118
26,adam,f,26,,[-1.43260878949187 -0.902584410730057],0.979561194385368,0.0001,False,[0.718530621479964 3.61604500722353],[-0.791597529166567 -2.66682880680514],[0.348836479805743 9.97705644514061],0.9,0.5,0.1,,,5.53448114584147,9.27106069143418
27,adam,f,27,,[-0.412750989946112 -0.444642272916488],1.32522705258436,0.0001,False,[1.83222335816657 5.42121382868368],[-0.529215440433253 -1.85802454325626],[1.85293945700846 19.6833079107259],0.9,0.5,0.1,,,5.57575624483608,9.31552491872583
28,adam,f,28,,[-0.138486993958680 -0.201416662316756],1.48926873612838,0.0001,False,[2.29032554781091 6.31049837451661],[-0.247261341608837 -1.04117225147897],[3.54926528598190 29.7528488227513],0.9,0.5,0.1,,,5.58960494423195,9.33566658495751
29,adam,f,29,,[0.0112205621319467 -0.0455905395569143],1.51733108527904,0.0001,False,[2.45960063330408 6.71333169915013],[0.0234248558824542 -0.265721856416061],[4.79945028066586 37.4108356627827],0.9,0.5,0.1,,,5.58848288801876,9.34022563891320
30,adam,f,30,,[0.119477708697266 0.0712297124981753],1.44102867546345,0.0001,False,[2.44558500418884 6.80451277826396],[0.265640870713093 0.441301607051940],[5.39016814668960 41.8561149061701],0.9,0.5,0.1,,,5.57653511714903,9.33310266766338
