exp/iibiii/10000.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/1000.history.csv:3:1,2.6857781410217285,0.10567297041416168,2.6589608192443848,0.07000000029802322
exp/iibiii/1000.history.csv:4:2,2.5849201679229736,0.12013348191976547,2.5394535064697266,0.18000000715255737
exp/iibiii/1000.history.csv:5:3,2.481689929962158,0.17575083673000336,2.4585254192352295,0.17000000178813934
exp/iibiii/1000.history.csv:6:4,2.3999431133270264,0.17241379618644714,2.2993741035461426,0.2199999988079071
exp/iibiii/1000.history.csv:7:5,2.2889046669006348,0.23248054087162018,2.161621332168579,0.28999999165534973
exp/iibiii/1000.history.csv:8:6,2.2312047481536865,0.28809788823127747,2.1278469562530518,0.27000001072883606
exp/iibiii/1000.history.csv:9:7,2.146411895751953,0.29588431119918823,2.124466896057129,0.25
exp/iibiii/1000.history.csv:10:8,2.1910433769226074,0.28809788823127747,2.092045545578003,0.2800000011920929
exp/iibiii/1000.history.csv:11:9,2.074840545654297,0.32925471663475037,2.095581531524658,0.2800000011920929
exp/iibiii/1000.history.csv:12:10,2.0756759643554688,0.3359287977218628,2.016228675842285,0.33000001311302185
exp/iibiii/1000.history.csv:13:11,1.9890202283859253,0.3592880964279175,1.980830430984497,0.38999998569488525
exp/iibiii/1000.history.csv:14:12,1.9515184164047241,0.39933258295059204,1.9905619621276855,0.3100000023841858
exp/iibiii/1000.history.csv:15:13,1.9252126216888428,0.38264739513397217,1.9183686971664429,0.4300000071525574
exp/iibiii/1000.history.csv:16:14,1.9119596481323242,0.395995557308197,1.857276201248169,0.36000001430511475
exp/iibiii/1000.history.csv:17:15,1.865661382675171,0.42269188165664673,1.8722519874572754,0.3799999952316284
exp/iibiii/1000.history.csv:18:16,1.8843965530395508,0.40823137760162354,1.8990055322647095,0.4000000059604645
exp/iibiii/1000.history.csv:19:17,1.8519816398620605,0.4071190357208252,1.9449949264526367,0.3499999940395355
exp/iibiii/1000.history.csv:20:18,1.920185923576355,0.39043381810188293,1.9076156616210938,0.3499999940395355
exp/iibiii/1000.history.csv:21:19,1.883837103843689,0.3870967626571655,1.9665683507919312,0.3199999928474426
exp/iibiii/10.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/10.history.csv:2:0,2.8304877281188965,0.125,2.8195438385009766,0.0
exp/iibiii/10.history.csv:3:1,2.788813591003418,0.25,2.843653440475464,0.0
exp/iibiii/10.history.csv:4:2,2.6960792541503906,0.25,2.88212513923645,0.0
exp/iibiii/10.history.csv:5:3,2.550380229949951,0.625,2.956256866455078,0.0
exp/iibiii/10.history.csv:6:4,2.4769961833953857,0.25,3.0782907009124756,0.0
exp/iibiii/10.history.csv:7:5,2.4555320739746094,0.25,3.276397228240967,0.0
exp/iibiii/10.history.csv:8:6,2.2920007705688477,0.25,3.5588619709014893,0.0
exp/iibiii/10.history.csv:9:7,1.955659031867981,0.375,3.972245216369629,0.0
exp/iibiii/10.history.csv:10:8,1.909759283065796,0.5,4.503538608551025,0.0
exp/iibiii/10.history.csv:11:9,1.9672048091888428,0.5,5.069591999053955,0.0
exp/iibiii/10.history.csv:12:10,2.297062635421753,0.375,5.420151710510254,0.0
exp/iibiii/10.history.csv:13:11,2.182525157928467,0.375,5.642847537994385,0.0
exp/iibiii/10.history.csv:14:12,1.7702748775482178,0.5,5.845866680145264,0.0
exp/iibiii/10.history.csv:15:13,1.7026722431182861,0.375,6.043738842010498,0.0
exp/iibiii/10.history.csv:16:14,2.031200408935547,0.25,6.163311004638672,0.0
exp/iibiii/10.history.csv:17:15,1.7359250783920288,0.5,6.273960113525391,0.0
exp/iibiii/10.history.csv:18:16,1.6651941537857056,0.375,6.398638725280762,0.0
exp/iibiii/10.history.csv:19:17,1.8800337314605713,0.375,6.471218109130859,0.0
exp/iibiii/10.history.csv:20:18,1.6601042747497559,0.75,6.560254096984863,0.0
exp/iibiii/10.history.csv:21:19,1.70735764503479,0.75,6.635164260864258,0.0
exp/iibiii/20000.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/20000.history.csv:2:0,2.2455122470855713,0.26190343499183655,1.919282078742981,0.3675000071525574
exp/iibiii/20000.history.csv:3:1,1.8395298719406128,0.39507749676704407,1.7407130002975464,0.4345000088214874
exp/iibiii/20000.history.csv:4:2,1.745851755142212,0.4245791435241699,1.6932260990142822,0.4505000114440918
exp/iibiii/20000.history.csv:5:3,1.6820873022079468,0.45185843110084534,1.6782058477401733,0.4449999928474426
exp/iibiii/20000.history.csv:6:4,1.6308165788650513,0.46941497921943665,1.6018218994140625,0.4869999885559082
exp/iibiii/20000.history.csv:7:5,1.5918844938278198,0.48830491304397583,1.5525116920471191,0.5214999914169312
exp/iibiii/20000.history.csv:8:6,1.5588270425796509,0.49869436025619507,1.510054349899292,0.5239999890327454
exp/iibiii/20000.history.csv:9:7,1.5402120351791382,0.5090282559394836,1.4849987030029297,0.5354999899864197
exp/iibiii/20000.history.csv:10:8,1.5212209224700928,0.5144174695014954,1.5036650896072388,0.5295000076293945
exp/iibiii/20000.history.csv:11:9,1.5043343305587769,0.5269181728363037,1.4618743658065796,0.5460000038146973
exp/iibiii/20000.history.csv:12:10,1.4849973917007446,0.5306406021118164,1.4543156623840332,0.5485000014305115
exp/iibiii/20000.history.csv:13:11,1.4602330923080444,0.5429190397262573,1.447571873664856,0.5534999966621399
exp/iibiii/20000.history.csv:14:12,1.4492868185043335,0.5510306358337402,1.4062390327453613,0.5699999928474426
exp/iibiii/20000.history.csv:15:13,1.4416102170944214,0.5491971969604492,1.4349768161773682,0.5619999766349792
exp/iibiii/20000.history.csv:16:14,1.4219176769256592,0.5588643550872803,1.4110593795776367,0.565500020980835
exp/iibiii/20000.history.csv:17:15,1.4128278493881226,0.5600866675376892,1.4062232971191406,0.5759999752044678
exp/iibiii/20000.history.csv:18:16,1.4025399684906006,0.5669759511947632,1.3839473724365234,0.5740000009536743
exp/iibiii/20000.history.csv:19:17,1.3786803483963013,0.5756986737251282,1.3876553773880005,0.5789999961853027
exp/iibiii/20000.history.csv:20:18,1.38277006149292,0.5761431455612183,1.4054359197616577,0.5845000147819519
exp/iibiii/20000.history.csv:21:19,1.3622047901153564,0.585699200630188,1.3444300889968872,0.5975000262260437
exp/iibiii/30000.history.csv:1:,loss,accuracy,val_loss,val_accuracy
exp/iibiii/30000.history.csv:2:0,2.120870351791382,0.303122341632843,1.7801188230514526,0.4099999964237213
exp/iibiii/30000.history.csv:3:1,1.751511573791504,0.4229045510292053,1.6943484544754028,0.4416666626930237
exp/iibiii/30000.history.csv:4:2,1.6668901443481445,0.4556094706058502,1.634132981300354,0.4623333215713501
exp/iibiii/30000.history.csv:5:3,1.6087806224822998,0.47583243250846863,1.5451245307922363,0.48766666650772095
exp/iibiii/30000.history.csv:6:4,1.569264531135559,0.4920182228088379,1.4950286149978638,0.5193333625793457
exp/iibiii/30000.history.csv:7:5,1.530368447303772,0.5060557723045349,1.463483452796936,0.5253333449363708
exp/iibiii/30000.history.csv:8:6,1.5076353549957275,0.5172784328460693,1.474735975265503,0.5253333449363708
exp/iibiii/30000.history.csv:9:7,1.492339015007019,0.5237601399421692,1.4107167720794678,0.5569999814033508
exp/iibiii/30000.history.csv:10:8,1.4711414575576782,0.5335752964019775,1.4035658836364746,0.550000011920929
exp/iibiii/30000.history.csv:11:9,1.4479032754898071,0.5444275736808777,1.3672112226486206,0.5756666660308838
exp/iibiii/30000.history.csv:12:10,1.4395757913589478,0.5466128587722778,1.3562790155410767,0.5876666903495789
exp/iibiii/30000.history.csv:13:11,1.4300529956817627,0.5520575046539307,1.4207749366760254,0.562666654586792
exp/iibiii/30000.history.csv:14:12,1.4255105257034302,0.5527611970901489,1.3485920429229736,0.5823333263397217
exp/iibiii/30000.history.csv:15:13,1.3932713270187378,0.566465437412262,1.3128629922866821,0.6026666760444641
exp/iibiii/30000.history.csv:16:14,1.3815245628356934,0.5713545083999634,1.314426302909851,0.5863333344459534
exp/iibiii/30000.history.csv:17:15,1.365702748298645,0.5780584216117859,1.2787150144577026,0.612333357334137
exp/iibiii/30000.history.csv:18:16,1.3589106798171997,0.5780214071273804,1.3017489910125732,0.6056666374206543
exp/iibiii/30000.history.csv:19:17,1.3507161140441895,0.5852438807487488,1.3117058277130127,0.6016666889190674
exp/iibiii/30000.history.csv:20:18,1.333274245262146,0.5896884799003601,1.2458901405334473,0.625
